Game,Ticket Price,Top Prize,Top Prizes Remaining
"$50,000 FLAMINGO MULTIPLIER",2,"$50,000.00",9
$500 MADNESS,10,N/A,0
TRIPLE CROSSWORD,3,"$150,000.00",2
LOTERIA&#153,2,N/A,0
CA$H ON THE SPOT,1,"$5,000.00",1
CROSSWORD CASH,5,"$500,000.00",1
GOLD RUSH LIMITED,20,"$5,000,000.00",1
BONUS CASH,2,"$50,000.00",3
THE PRICE IS RIGHT,5,"$1,000,000.00",5
20X THE CASH,2,"$100,000.00",7
$500 WILD CASH BONANZA,10,N/A,0
50X THE CASH,5,"$1,000,000.00",0
CASH ERUPTION,5,N/A,0
BINGO DOUBLER,3,"$150,000.00",1
FLORIDA 10X THE CASH,1,"$10,000.00",2
$2 GOLD RUSH DOUBLER,2,"$100,000.00",10
$1 GOLD RUSH DOUBLER,1,"$10,000.00",9
$5 GOLD RUSH DOUBLER,5,"$1,000,000.00",8
$1M YR/LIFE SPEC,50,$1MM/YR/LF        (MIN 25),0
PAYDAY BONUS,10,N/A,0
"$50,000 TRIPLE MATCH",2,"$50,000.00",2
50X THE CASH,5,"$1,000,000.00",5
MYSTERY MULTIPLIER,10,"$1,000,000.00",2
FLORIDA 300X THE CASH,30,"$15,000,000.00",2
LUCKY NUMBERS,5,"$500,000.00",3
$50K A YR FOR LIFE,2,"$50,000.00YR/LIFE",2
ACES AND 8S,2,"$50,000.00",3
$5MM TRIPLE MATCH,20,"$5,000,000.00",1
EMERALD MINE 9X,5,"$500,000.00",1
500X THE CASH,50,"$25,000,000.00",1
100X THE CASH,10,"$2,000,000.00",1
TRIPLE 777,10,"$2,000,000.00",1
GOLD RUSH LEGACY,20,"$10,000,000.00",2
$1 MONOPOLY&trade; SECRET VAULT,1,"$10,000.00",3
2025,2,"$50,000.00",2
$1MM GOLD RUSH MULTIPLIER,5,"$1,000,000.00",3
QUICK $100S,2,"$50,000.00",3
$250K A YR FOR LIFE,10,"$250,000.00YR/LIFE",0
THE GAME OF LIFE&trade;,5,"$500,000.00",6
$5M CROSSWORD CASH,20,"$5,000,000.00",0
BINGO NIGHT,3,"$150,000.00",1
10X&reg; THE CASH,1,"$10,000.00",9
UNO&trade;,3,"$150,000.00",2
$100 LOADED,1,"$5,000.00",2
$2 MONOPOLY&trade; SECRET VAULT,2,"$100,000.00",3
20X THE CASH,2,"$100,000.00",2
JEOPARDY,5,"$1,000,000.00",4
WIN WIN WIN,2,"$50,000.00",3
"$5,000 CROSSWORD",1,"$5,000.00",10
XTREME CROSSWORD,5,N/A,0
FAST BUCKS,1,"$5,000.00",5
DOUBLE IT!,1,"$5,000.00",38
$2MM 100X CASHWORD,10,"$2,000,000.00",0
LOTERIA&trade; GRANDE,5,"$1,000,000.00",1
$20 MONOPOLY&trade; SECRET VAULT,20,"$5,000,000.00",2
HIT AND WIN!,5,"$500,000.00",4
"$10,000 TRIPLE MATCH",1,"$10,000.00",12
MILLIONAIRE MAKER,5,"$1,000,000.00",1
EASY MONEY,2,"$50,000.00",4
$5 MONOPOLY&trade; SECRET VAULT,5,"$1,000,000.00",3
$10 MONOPOLY&trade; SECRET VAULT,10,"$2,000,000.00",2
TRIPLE JACKPOT,10,"$2,000,000.00",1
FAST LOOT,1,"$5,000.00",5
THE CASH WHEEL,5,"$1,000,000.00",2
FIND THE 7S,2,"$50,000.00",1
$15MM GOLD RUSH MULTIPLIER,30,"$15,000,000.00",2
SILVER STREAK,10,"$2,000,000.00",1
DOUBLE YOUR MONEY,5,"$1,000,000.00",2
"$100,000 HOLIDAY BLOWOUT",5,"$100,000.00",2
"$25,000 HOLIDAY BLOWOUT",2,"$25,000.00",2
"$500,000 HOLIDAY BLOWOUT",10,"$500,000.00",2
"$5,000 HOLIDAY BLOWOUT",1,"$5,000.00",5
THE PERFECT GIFT,20,"$5,000,000.00",2
LOTERIA&#153,2,"$50,000.00",3
TRIPLE GOLDEN CHERRIES,5,"$500,000.00",3
$50 FRENZY,1,$50.00,"9,550"
CASH DROP,2,"$50,000.00",2
$2MM TRIPLE MATCH,10,"$2,000,000.00",3
LUCKY GREEN,2,"$50,000.00",1
BONUS LETTER CROSSWORD,5,"$1,000,000.00",3
DOUBLE CASH,2,N/A,0
PLATINUM MINE 9X,5,"$1,000,000.00",2
ULTIMATE VIP CASHWORD,10,"$2,000,000.00",4
$2MM GOLD RUSH MULTIPLIER,10,"$2,000,000.00",3
$100K GOLD RUSH MULTIPLIER,2,"$100,000.00",4
$10K GOLD RUSH MULTIPLIER,1,"$10,000.00",33
$25MM GOLD RUSH MULTIPLIER,50,"$25,000,000.00",2
"$25, $50 OR $100",5,$100.00,"71,770"
5 TIMES LUCKY,5,"$1,000,000.00",2
JAWS,2,"$50,000.00",7
MONEY MATCH,5,"$1,000,000.00",2
ADD IT UP,2,"$50,000.00",5
TREASURE HUNT,3,"$150,000.00",3
"$5,000,000 CA$H MONEY",20,"$5,000,000.00",4
GUY HARVEY $1M FLORIDA BIG BILLS,5,"$1,000,000.00",3
SUMMER CASH,1,"$5,000.00",7
SCORCHING HOT 7s,10,"$2,000,000.00",4
